SMARTS,trivialname,group
s1cnnc1,"1,3,4-thiadiazole",cyclic
s1nccn1,"1,2,5-thiadiazole",cyclic
C1CCS(C1)(=O)=O,Sulfolane,cyclic
S1C([N;H1](C(C1)=O))=O,"2,4-thiazolidinedione",cyclic
C1CC([NH1]C1=O)=O,Succinimide,cyclic
O1CC[NH1]C1=O,2-oxazolidone,cyclic
[N;H1]1CC([NH1]C1=O)=O,Hydantoin,cyclic
[nX2]1cc[nX2]c[nX2]1,"1,2,3-triazine",cyclic
[nX2]1c[nX2]c[nX2]c1,"1,3,5-triazine",cyclic
O1CCCCC1,Tetrahydropyran,cyclic
O1C=CC=CC1,2H-pyran,cyclic
O1C=CCC=C1,4H-pyran,cyclic
[o+]1ccccc1,Pyrylium,cyclic
O1CCOCC1,"1,4-dioxane",cyclic
O1C=COC=C1,"1,4-dioxine",cyclic
S1CCCCC1,Thiane,cyclic
S1C=CCC=C1,4H-thiopyran,cyclic
S1C=CC=CC1,2H-thiopyran,cyclic
S1CCCSC1,"1,3-dithiane",cyclic
S1CCSCC1,"1,4-dithiane",cyclic
S1CSCSC1,"1,3,5-trithiane",cyclic
O1CC[NX3]CC1,Morpholine,cyclic
C1C=[NX2]OC=C1,"4H-1,2-oxazine",cyclic
C=1C=CO[NX3H1]C=1,"2H-1,2-oxazine",cyclic
C=1C=[NX2]OCC=1,"6H-1,2-oxazine",cyclic
C1=COC=[NX2]C1,"4H-1,3-oxazine",cyclic
C1=COC[NX2]=C1,"2H-1,3-oxazine",cyclic
C=1COC=[NX2]C=1,"6H-1,3-oxazine",cyclic
C=1[NX3H1]C=COC=1,"4H-1,4-oxazine",cyclic
C1=COCC=[NX2]1,"2H-1,4-oxazine",cyclic
S1CC[NX3H1]CC1,Thiomorpholine,cyclic
S1C=C[NX3H1]C=C1,"4H-1,4-thiazine",cyclic
C=1C=C[NX3H1]SC=1,"2H-1,2-thiazine",cyclic
C1=CC=[NX2]SC1,"6H-1,2-thiazine",cyclic
S1CC=[NX2]C=C1,"2H-1,4-thiazine",cyclic
c1cc([nX2]c([nX3H1]1)=O)[NH2X3],Cytosine,cyclic
c1([nX3H1]c(c(c[nX3H1]1)C)=O)=O,Thymine,cyclic
c1([nX3H1]c(cc[nX3H1]1)=O)=O,Uracil,cyclic
[NX3]1CCS(CC1)(=O)=O,Thiomorpholine dioxide,cyclic
C1[NX3]2C(CC1)CCC2,Pyrrolizidine,cyclic
c1c2c(ccc1)CCC2,"2,3-dihydro-1H-Indene",cyclic
c1c2c(ccc1)CC=C2,Indene,cyclic
c1c2c(ccc1)CC[NX3H1]2,Indoline,cyclic
c1cccc2c1[NX3H1]C=C2,1H-indole,cyclic
c1cccc2c1[NX2]=CC2,3H-indole,cyclic
c1c2c(ccc1)c[nX3]c2,2H-isoindole,cyclic
c1[nX3]2c(ccc1)ccc2,Indolizine,cyclic
c1c2c(ccc1)c[nX2][nX3]2,Indazole,cyclic
c1cccc2c1[nX3]c[nX2]2,benzimidazole,cyclic
[nX2]1c2c(ccc1)cc[nX3]2,7-azaindole,cyclic
c1cc[nX2]c2c1[nX3]cc2,4-azaindole,cyclic
c1c[nX2]cc2c1[nX3]cc2,5-azaindole,cyclic
c1c2c(cc[nX2]1)cc[nX3]2,6-azaindole,cyclic
